,Predicted_Modal_Price
2026-09-14,1209.5673259840205
2026-09-15,1031.5534437330787
2026-09-16,1169.6509638491668
2026-09-17,1010.1874556195083
2026-09-18,1341.8668722962193
2026-09-19,1224.9624319728357
2026-09-20,1186.9729739526292
2026-09-21,1117.6645283873881
2026-09-22,1282.093670377633
2026-09-23,1102.0778593068137
2026-09-24,1398.7735640087888
2026-09-25,1067.3128809699176
2026-09-26,1349.9676257655335
2026-09-27,1199.9336331862362
2026-09-28,1251.6469629898097
2026-09-29,1110.71927134042
2026-09-30,1420.8747918412616
2026-10-01,1193.1239861254676
2026-10-02,1233.4862473896667
2026-10-03,1022.9444570046124
2026-10-04,1411.9335419701708
2026-10-05,1237.6106473307577
2026-10-06,1168.9777989957968
2026-10-07,1188.3285046104659
2026-10-08,1101.9703214054762
2026-10-09,1404.1675149056591
2026-10-10,1260.9824249266915
2026-10-11,1136.2354939007507
2026-10-12,1142.4523457897953
2026-10-13,1084.0013095508114
