Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
25/02/2006,Grapes,22,Patna,Medium,Bihta,2800,2200,2400,Bihar,Indian
28/01/2006,Grapes,22,Patna,Small,Bihta,3300,2500,2800,Bihar,Other
05/02/2006,Grapes,22,Patna,Large,Bihta,3200,2500,2700,Bihar,Other
08/02/2006,Grapes,22,Patna,Large,Bihta,3200,2500,2700,Bihar,Other
10/02/2006,Grapes,22,Patna,Medium,Bihta,2800,2300,2400,Bihar,Other
14/02/2006,Grapes,22,Patna,Medium,Bihta,2400,2100,2200,Bihar,Other
19/02/2006,Grapes,22,Patna,Medium,Bihta,2600,2200,2400,Bihar,Other
03/03/2006,Grapes,22,Patna,Large,Bihta,2500,2200,2300,Bihar,Other
05/03/2006,Grapes,22,Patna,Medium,Bihta,2800,2200,2400,Bihar,Other
08/03/2006,Grapes,22,Patna,Medium,Bihta,2800,2200,2600,Bihar,Other
10/03/2006,Grapes,22,Patna,Medium,Bihta,2800,2250,2600,Bihar,Other
28/03/2006,Grapes,22,Patna,Medium,Bihta,2400,2100,2300,Bihar,Other
01/04/2006,Grapes,22,Patna,Medium,Bihta,2400,2000,2200,Bihar,Other
04/04/2006,Grapes,22,Patna,Medium,Bihta,2500,2200,2400,Bihar,Other
06/04/2006,Grapes,22,Patna,Medium,Bihta,655,365,525,Bihar,Other
11/04/2006,Grapes,22,Patna,Medium,Bihta,2400,2100,2200,Bihar,Other
13/04/2006,Grapes,22,Patna,Medium,Bihta,2400,2100,2200,Bihar,Other
01/05/2006,Grapes,22,Patna,Medium,Bihta,2500,2210,2400,Bihar,Other
06/05/2006,Grapes,22,Patna,Medium,Bihta,2400,2210,2250,Bihar,Other
11/12/2003,Rice,3,Patna,FAQ,Bihta,840,735,805,Bihar,Masuri
19/12/2003,Rice,3,Patna,FAQ,Bihta,855,776,820,Bihar,Other
23/01/2006,Potato,24,Patna,FAQ,Bihta,340,300,320,Bihar,Local
30/01/2006,Potato,24,Patna,FAQ,Bihta,330,290,310,Bihar,Local
31/01/2006,Potato,24,Patna,FAQ,Bihta,330,290,310,Bihar,Local
06/01/2006,Potato,24,Patna,FAQ,Bihta,450,400,425,Bihar,Other
08/01/2006,Potato,24,Patna,FAQ,Bihta,420,380,390,Bihar,Other
17/01/2006,Potato,24,Patna,FAQ,Bihta,350,300,325,Bihar,Other
01/02/2006,Potato,24,Patna,FAQ,Bihta,310,290,300,Bihar,Other
07/02/2006,Potato,24,Patna,FAQ,Bihta,350,290,320,Bihar,Other
08/02/2006,Potato,24,Patna,FAQ,Bihta,350,300,320,Bihar,Other
14/02/2006,Potato,24,Patna,FAQ,Bihta,350,320,340,Bihar,Other
15/02/2006,Potato,24,Patna,FAQ,Bihta,350,320,330,Bihar,Other
02/03/2006,Potato,24,Patna,FAQ,Bihta,380,350,360,Bihar,Other
09/03/2006,Potato,24,Patna,FAQ,Bihta,425,380,400,Bihar,Other
26/03/2006,Potato,24,Patna,FAQ,Bihta,450,400,425,Bihar,Other
04/04/2006,Potato,24,Patna,FAQ,Bihta,450,400,415,Bihar,Other
06/04/2006,Potato,24,Patna,FAQ,Bihta,450,400,420,Bihar,Other
13/04/2006,Potato,24,Patna,FAQ,Bihta,450,400,420,Bihar,Other
23/04/2006,Potato,24,Patna,FAQ,Bihta,500,450,460,Bihar,Other
